fathmm	lrt	mutass	muttaster	provean	pph2_hdiv	pph2_hvar	sift	predict	benign	pathogenic
D	D	N	D	D	P	D	T	P	0.454	0.546
D	D	N	D	D	P	P	D	P	0.273	0.727
D	D	N	D	D	P	P	T	P	0.48	0.52
D	D	N	D	N	B	B	D	B	0.943	0.057
D	D	N	D	N	B	B	T	B	0.995	0.005
D	D	N	D	N	B	D	D	B	0.67	0.33
D	D	N	D	N	B	D	T	B	0.835	0.165
D	D	N	D	N	B	P	D	B	0.735	0.265
D	D	N	D	N	B	P	T	B	0.874	0.126
D	D	N	D	N	D	B	D	B	0.767	0.233
D	D	N	D	N	D	B	T	B	0.889	0.111
D	D	N	D	N	D	D	D	B	0.531	0.469
D	D	N	D	N	D	D	T	B	0.74	0.26
D	D	N	D	N	D	P	D	B	0.726	0.274
D	D	N	D	N	D	P	T	B	0.879	0.121
D	D	N	D	N	P	B	D	B	0.841	0.159
D	D	N	D	N	P	B	T	B	0.971	0.029
D	D	N	D	N	P	D	D	B	0.622	0.378
D	D	N	D	N	P	D	T	B	0.823	0.177
D	D	N	D	N	P	P	D	B	0.746	0.254
D	D	N	D	N	P	P	T	B	0.901	0.099
D	D	N	N	D	B	B	D	B	0.782	0.218
D	D	N	N	D	B	B	T	B	0.897	0.103
D	D	N	N	D	B	D	D	B	0.507	0.493
D	D	N	N	D	B	D	T	B	0.693	0.307
D	D	N	N	D	B	P	D	B	0.61	0.39
D	D	N	N	D	B	P	T	B	0.75	0.25
D	D	N	N	D	D	B	D	B	0.592	0.408
D	D	N	N	D	D	B	T	B	0.683	0.317
D	D	N	N	D	D	D	D	P	0.333	0.667
D	D	N	N	D	D	D	T	B	0.514	0.486
D	D	N	N	D	D	P	D	B	0.555	0.445
D	D	N	N	D	D	P	T	B	0.66	0.34
D	D	N	N	D	P	B	D	B	0.684	0.316
D	D	N	N	D	P	B	T	B	0.822	0.178
D	D	N	N	D	P	D	D	P	0.427	0.573
D	D	N	N	D	P	D	T	B	0.626	0.374
